2025-04-16 03:20:10 | Action: VerifyToken | Description: Token verification for user 2115 | User: 2115
2025-04-16 03:48:02 | Action: BuyProduct | Description: Product purchased: hello (ID: 53) by user 24210244 from seller 24210242 for 45.00 via Credit | User: 24210244
2025-04-16 03:48:04 | Action: GetProducts | Description: Products retrieved for user 24210244 - 0 products | User: 24210244
2025-04-16 03:48:06 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 24210244 - 1 logs | User: 24210244
2025-04-16 03:48:06 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 24210244 - 1 logs | User: 24210244
2025-04-16 03:55:52 | Action: VerifyToken | Description: Token verification for user 24210244 | User: 24210244
2025-04-16 03:55:52 | Action: VerifyToken | Description: Token verification for user 24210244 | User: 24210244
2025-04-16 03:55:58 | Action: Login | Description: Login of name: sujal | User: 24210242
2025-04-16 03:55:58 | Action: VerifyToken | Description: Token verification for user 24210242 | User: 24210242
2025-04-16 03:55:59 | Action: VerifyToken | Description: Token verification for user 24210242 | User: 24210242
2025-04-16 03:56:02 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 24210242 - 1 logs | User: 24210242
2025-04-16 03:56:02 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 24210242 - 1 logs | User: 24210242
2025-04-16 03:56:21 | Action: GetProfile | Description: Profile retrieved for user 24210242 - sold: 1, bought: 1 | User: 24210242
2025-04-16 03:56:22 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 24210242 - 1 logs | User: 24210242
2025-04-16 03:56:22 | Action: GetProfile | Description: Profile retrieved for user 24210242 - sold: 1, bought: 1 | User: 24210242
2025-04-16 03:56:23 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 24210242 - 1 logs | User: 24210242
2025-04-16 03:56:29 | Action: GetMyTransactions | Description: Transactions retrieved for user 24210242 - 2 transactions | User: 24210242
2025-04-16 03:56:29 | Action: GetMyTransactions | Description: Transactions retrieved for user 24210242 - 2 transactions | User: 24210242
2025-04-16 03:56:37 | Action: GetProfile | Description: Profile retrieved for user 24210242 - sold: 1, bought: 1 | User: 24210242
2025-04-16 03:56:38 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 24210242 - 1 logs | User: 24210242
2025-04-16 03:56:38 | Action: GetProfile | Description: Profile retrieved for user 24210242 - sold: 1, bought: 1 | User: 24210242
2025-04-16 03:56:39 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 24210242 - 1 logs | User: 24210242
2025-04-16 03:56:42 | Action: ViewGroupMembers | Description: Group members retrieved by user 24210242 - 24 members | User: 24210242
2025-04-16 03:56:43 | Action: ViewGroupMembers | Description: Group members retrieved by user 24210242 - 24 members | User: 24210242
2025-04-16 03:56:48 | Action: GetMemberListing | Description: Member 2034 listings retrieved by user 24210242 - 0 listings | User: 24210242
2025-04-16 11:18:15 | Action: Login | Description: Login of name: iv | User: 2248
2025-04-16 11:18:15 | Action: VerifyToken | Description: Token verification for user 2248 | User: 2248
2025-04-16 11:18:15 | Action: VerifyToken | Description: Token verification for user 2248 | User: 2248
2025-04-16 11:18:17 | Action: GetReportAnalytics | Description: Report analytics generated by user 2248 | User: 2248
2025-04-16 11:18:17 | Action: GetReportAnalytics | Description: Report analytics generated by user 2248 | User: 2248
2025-04-16 11:18:18 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 2248 - 1 logs | User: 2248
2025-04-16 11:18:18 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 2248 - 1 logs | User: 2248
2025-04-16 11:18:20 | Action: GetProfile | Description: Profile retrieved for user 2248 - sold: 1, bought: 2 | User: 2248
2025-04-16 11:18:20 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 2248 - 1 logs | User: 2248
2025-04-16 11:18:20 | Action: GetProfile | Description: Profile retrieved for user 2248 - sold: 1, bought: 2 | User: 2248
2025-04-16 11:18:20 | Action: GetMyCreditLogs | Description: Credit logs retrieved for user 2248 - 1 logs | User: 2248
2025-04-16 11:18:22 | Action: GetMyTransactions | Description: Transactions retrieved for user 2248 - 3 transactions | User: 2248
2025-04-16 11:18:22 | Action: GetMyTransactions | Description: Transactions retrieved for user 2248 - 3 transactions | User: 2248
2025-04-16 11:19:09 | Action: ViewGroupMembers | Description: Group members retrieved by user 2248 - 26 members | User: 2248
2025-04-16 11:19:09 | Action: ViewGroupMembers | Description: Group members retrieved by user 2248 - 26 members | User: 2248
